text,label,label_encoded
KIDSIRVINE IRVINE,Financial Services,1
THUMBTACK INC,Financial Services,1
MOMENTS SALON SCOTTSDALE,Financial Services,1
TETURES SALON PHOENI,Financial Services,1
INNER CITY KANSAS CITY,Financial Services,1
PCS STATE QUAR,Financial Services,1
DIVERSIFIED ADJUSTMENT,Financial Services,1
MYRIAH BONSALL PHOENI,Financial Services,1
ARBACHS GOODHAIR CENTENNIAL,Financial Services,1
RAPHAEL SALON ASSOCI PALM SPRINGS,Financial Services,1
ORMICK RANCH,Financial Services,1
MANE PARLOUR RALEIGH,Financial Services,1
VALLEY WIDE PROCESS PHOENI,Financial Services,1
LAURIE EDWARDS LONGMONT,Financial Services,1
SECRETS NAILS AND SUNRISE,Financial Services,1
MARGO LITTLEY INC SALT LAKE CIT,Financial Services,1
ARMOR SYSTEMS CORP,Financial Services,1
KANZI HAIR STUDIO SUNNYVALE,Financial Services,1
LAUNDRY PLUS PROVO,Financial Services,1
CR ASSOCIATES TAYLORSVILLE,Financial Services,1
RENEW E LLC MANITOWOC,Financial Services,1
SAFE STREETS USA L,Financial Services,1
DIANAS BEAUTY SAL PHOENI,Financial Services,1
DEBIT CRD PUR INTL SUEDE AND SKIN ROMA,Financial Services,1
LJS RICHMOND,Financial Services,1
APACHE TREAS,Financial Services,1
JACK HARRIS AUTOBODY KAYSVILLE,Financial Services,1
ART SKIN CARE REDDING,Financial Services,1
TIMELESS STITCHES EVERSON,Financial Services,1
MISFITS CAFE PAYSON,Financial Services,1
WABASH TRUE VALUE WABASH,Financial Services,1
VAC SHACK SIOU CITY,Financial Services,1
CHECK CRD PUR RTRN COM,Financial Services,1
FRESNO CREDIT BURE,Financial Services,1
MESSINA SHOE AND B GRAPEVINE T,Financial Services,1
DUVERA BILLING SERVICE,Financial Services,1
CASH N CARRY SANDY,Financial Services,1
HOUSE BEAUTIFUL,Financial Services,1
MEDLINDAVIS CLEAN,Financial Services,1
TSE BONITO FIREWORKS GALLUP,Financial Services,1
HSA CARD PURCHASE CALIFORNIA PACIFIC,Financial Services,1
DOG CITY INC BOULDER,Financial Services,1
UNDER THE SEA GALL AVILA BEACH,Financial Services,1
SHINE SALON LLC PUEBLO,Financial Services,1
JBD PARTNERS INC CAMARILLO,Financial Services,1
WCIWASTE CONN T C,Financial Services,1
AITS SEPTIC SERVIC,Financial Services,1
THE ROSE GARDEN ARLINGTON T,Financial Services,1
CARROWS CLEANERS MARSHALL,Financial Services,1
CARRIE A BUSS GOLDEN,Financial Services,1
WALTER CLAUDIO SAL SANTA BARBARA,Financial Services,1
AACREDLANDS AIKIK,Financial Services,1
DEBIT CRD PUR INTL ILLUSIONS HAIR DES DERNANCOURT,Financial Services,1
GENTLE GIANT LTD,Financial Services,1
FUOC GLEN U GLEN ULLIN,Financial Services,1
DEBIT CRD PUR INTL THE PENN CLUB LONDON WC,Financial Services,1
ADAO GLOBAL LLC T,Financial Services,1
PARK MALL JEWELRY AND TUCSON,Financial Services,1
K S CLEANERS SAN CLEMENTE,Financial Services,1
MEADOWLAWN PROPERTIES SALEM,Financial Services,1
NAILS FORNEY T,Financial Services,1
SAV U TIME TITLES MESA,Financial Services,1
DIRECT BEAUTY SEDONA,Financial Services,1
AACELECTRIC BEACH,Financial Services,1
HEAVENSANGELSTHERAPEUT,Financial Services,1
MARTIN E LERMA INC PHOENI,Financial Services,1
GREEN BRIAR CLEANE FAIRFA,Financial Services,1
CREDIT SERVICE,Financial Services,1
BRUCES AIR CONDITION,Financial Services,1
SPICE SALON CHERRY HILL,Financial Services,1
DEBIT CRD PUR INTL THE SIMFLIGHT NETWORK,Financial Services,1
THRIFT GIFT SHOP HOMOSASSA SPR,Financial Services,1
PERFECT CARD,Financial Services,1
COP RECREATION SERVICE PRESCOTT,Financial Services,1
CLARK SUPPLY HOUSTON T,Financial Services,1
RAMON BACAUI HAIR SCOTTSDALE,Financial Services,1
SHARAREH SADEGHIEH AUSTIN T,Financial Services,1
SNIFF DOG HOTEL PORTLAND,Financial Services,1
PETRO TRAVEL PLAZA PORTAGE,Financial Services,1
SKIN RENEWAL SYSTE MARCO ISLAND,Financial Services,1
ELEGANTS NAILS TARZANA,Financial Services,1
TAMARA LYNN SALT SALT LAKE CIT,Financial Services,1
ZAP LASER CENTER AURORA,Financial Services,1
SAIGON NAILS FORT COLLINS,Financial Services,1
DUKE DUCHESS CYPRESS,Financial Services,1
CRYOTHERAPY,Financial Services,1
HOUSEHOLD APPLIANCE,Financial Services,1
NEW FEELING CORP NEW YORK,Financial Services,1
SALON MOSCOW NEW YORK,Financial Services,1
DON HILL AUCTIONEER STONEWALL T,Financial Services,1
ACTION LOCKSMITH,Financial Services,1
STANDRA MYERS CHANDLER,Financial Services,1
MAIN PLACE CLEANER GRANBURY T,Financial Services,1
STYLING STEAMBOAT STEAMBOAT SPR,Financial Services,1
MJ CAPELLI MOOR MOORHEAD,Financial Services,1
VTMENDLESS AROMA,Financial Services,1
MES AMIS SPA SAINT PAUL,Financial Services,1
M H SALON ROY,Financial Services,1
WILD NAIL SURPRISE,Financial Services,1
ARIRANG LLC SIERRA VISTA,Financial Services,1
SALON HAVEN PEORIA,Financial Services,1
DESERT WEB INC YUMA,Financial Services,1
RMSMANAGEMENT SER WARRENVILLE,Financial Services,1
COCO BEES GROOMING SAL AUBREY T,Financial Services,1
PET WASH CENTER RIVERSIDE,Financial Services,1
PANACH CORP SANTA MONICA,Financial Services,1
BOUNCY BOUNC,Financial Services,1
PABLOS BARBER SHO LOGAN,Financial Services,1
ALARM COMMUNICATIONS I,Financial Services,1
HAUNS BEST PAUL,Financial Services,1
UNIFOUR FINANCIAL,Financial Services,1
RSYNCNET INC SAN DIEGO,Financial Services,1
ACK INC,Financial Services,1
COCO MILANOS MESA,Financial Services,1
OAKLEY PAYMETRIC,Financial Services,1
CLICKAWAY SAN JOSE,Financial Services,1
LILYS CLEANERS LLC SARATOGA SPRI,Financial Services,1
MATTHYS FARM MARKET SOUTH BEND,Financial Services,1
SEENBEST WEB DESIG GLENDALE,Financial Services,1
GREEN CARPET,Financial Services,1
CHECK CRD PUR RTRN THE CASTING FRONTIE,Financial Services,1
BEAUTI NAILS INC OWATONNA,Financial Services,1
UHAUL CTR LOMBARD RICHMOND,Financial Services,1
SAF KEEP SELF STORAGE,Financial Services,1
BROWNING FACTORY O MORGAN,Financial Services,1
KERIS KREATIVE KUTS DENVER,Financial Services,1
CHECK CRD PUR RTRN COMPUTER GEEKS,Financial Services,1
NEW IMAGE LAKE ORION,Financial Services,1
DEPASQUALE THE SPA MORRIS PLAINS,Financial Services,1
VENTURE PEST CONTR,Financial Services,1
DURAN ACCTNG SOLUTIONS MESA,Financial Services,1
LADY BELLE SKINCARE WESTMINSTER,Financial Services,1
SAKS SALON FIRS SHAKOPEE,Financial Services,1
EUGENE NAIL BELLE EUGENE,Financial Services,1
DEBIT CRD PURCHASE CYBERDON INC MISSISSAUGA,Financial Services,1
GINO JACKSON ALPHARETTA,Financial Services,1
LONG LASHES ONLINE,Financial Services,1
DRY CLEAN HERNDON,Financial Services,1
BARRIER INSULATION INC GLENDALE,Financial Services,1
HSNCOM,Financial Services,1
RADIUS MANAGEMENT,Financial Services,1
LOVELAND NAILS LOVELAND,Financial Services,1
GLAMOUR DOGS SALON HOUSTON T,Financial Services,1
ACCOUNTING RESOURCES COLORADO SPRI,Financial Services,1
STEWART PALMER STUDIO PROVO,Financial Services,1
WOVEN STUDIO SALON CHARLOTTE,Financial Services,1
COMPUSAARLINGTON ARLINGTON T,Financial Services,1
MLM PAYNE JUNIOR HIGH MYLUNCHMONEY,Financial Services,1
ROSE APPLIANCE,Financial Services,1
ROBERT J GRAHAM OJAI,Financial Services,1
INTPUBLICRECORDS,Financial Services,1
RODANE KENNELS,Financial Services,1
TOVA YARON DAY SPA AND SAN JOSE,Financial Services,1
CORPORATIONS TODAY INC,Financial Services,1
SCANDALOUS HAIR WEST NEW YORK,Financial Services,1
AZEMI SALONS WEFORD,Financial Services,1
AZER SONS RICHMOND,Financial Services,1
